Űrlap	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A
072311 Fogorvosi alapellátás	181	0	5	2	0	2	6	0	1	0	0	1	6	204	0	10	1	11	215	60	54	0	3	1	0	2	15	14	29	0	69	69	3478	0	0	37	0	0	0	2710	6225	0	0	0	1558	0	0	0	0	23	1581	7904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8180	0	0	0	0	0	0	8180	0	0	0
072313 Fogorvosi szakellátás	26065	10	664	269	0	239	923	0	152	25	0	94	908	29349	0	1571	74	1645	30994	8537	7762	0	383	84	47	261	2343	100	2443	494	161	655	612	0	81	477	0	0	36	2204	3410	0	0	0	816	19	0	0	0	46	881	7389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	15	72	142	0	38	180	0	0	0	0	0	0	0	0	0	0	0	0	0	47172	0	0	0	0	0	0	47172	12	1	0
072410 Otthoni (egészségügyi) szakápolás	1512	1	39	15	0	14	54	0	9	1	0	5	53	1703	0	91	4	95	1798	495	450	0	22	5	3	15	125	5	130	71	39	110	79	0	0	26	0	0	3797	66	3968	0	0	0	113	1	0	0	0	92	206	4414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	8	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	6720	0	0	0	0	0	0	6720	1	0	0
072420 Egészségügyi laboratóriumi szolgáltatások	56484	21	1439	583	0	517	2000	0	330	114	0	204	1968	63660	0	3405	161	3566	67226	18500	16820	0	830	182	103	565	4760	895	5655	2704	35	2739	2696	0	0	752	0	0	26173	3034	32655	0	0	0	3026	42	0	0	0	70	3138	44187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1071	289	1360	307	0	83	390	0	0	0	0	0	0	0	0	0	0	0	0	0	131663	0	0	0	0	0	0	131663	17	0	0
072430 Képalkotó diagnosztikai szolgáltatások	35136	14	895	363	0	322	1244	0	206	124	0	126	1224	39654	0	2118	100	2218	41872	11508	10463	0	516	113	64	352	3133	241	3374	4316	83	4399	3608	0	0	5582	0	0	14680	3086	26956	0	0	0	4643	26	0	0	0	43	4712	39441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	780	12028	3458	16266	191	565	204	960	0	0	0	0	0	0	0	0	0	0	0	0	0	110047	0	0	0	0	0	0	110047	18	0	0
074011 Foglalkozás-egészségügyi alapellátás	5745	2	147	59	0	53	203	0	34	5	0	21	200	6469	0	347	16	363	6832	1881	1711	0	84	19	10	57	653	27	680	299	14	313	574	0	0	8	0	0	16	533	1131	0	0	0	496	4	0	0	0	298	798	2922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	4	18	31	0	8	39	0	0	0	0	0	0	0	0	0	0	0	0	0	11692	0	0	0	0	0	0	11692	3	0	0
074031 Család és nővédelmi egészségügyi gondozás	84661	32	2160	875	0	777	3002	0	496	81	0	306	2954	95344	0	5111	241	5352	100696	27771	25248	0	1246	274	155	848	7012	847	7859	1321	1394	2715	3402	0	64	438	0	0	1	2344	6249	0	0	0	3858	63	0	0	0	4451	8372	25195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1319	356	1675	643	0	174	817	0	0	0	0	0	0	0	0	0	0	0	0	0	156154	0	0	0	0	0	0	156154	44	1	0
074032 Ifjúság-egészségügyi gondozás	11128	4	284	115	0	101	394	0	65	11	0	40	388	12530	0	671	32	703	13233	3645	3314	0	164	36	20	111	920	31	951	0	0	0	0	0	0	11	0	0	5865	55	5931	0	0	0	205	8	0	0	0	375	588	7470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	16	76	0	0	0	0	0	0	0	0	0	0	0	0	0	24424	0	0	0	0	0	0	24424	0	0	0
081022 Sportteljesítmények elismerése, járadékok, ösztöndíjak	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1680	1680	1680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1680	0	0	0	0	0	0	1680	0	0	0
081030 Sportlétesítmények, edzőtáborok működtetése és fejlesztése	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	2000	0	234	234	603	0	0	0	0	0	603	2837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92894	0	0	0	92894	92894	0	41981	0	1181	11654	54816	51346	0	13864	65210	0	0	0	0	0	0	0	335170	0	335170	0	0	335170	550927	0	0	0	0	0	0	550927	0	0	0
081043 Iskolai, diáksport-tevékenység és támogatása	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15292	4488	19780	0	0	0	5340	0	0	0	0	0	5340	25120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25120	0	0	0	0	0	0	25120	0	0	0
081045 Szabadidősport- (rekreációs sport-) tevékenység és támogatása	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1288	1288	1288	0	0	0	0	0	0	0	63	202	265	0	0	0	0	0	0	0	0	0	40180	120	40300	0	0	0	11073	0	0	0	0	0	11073	51638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52926	0	0	0	0	0	0	52926	0	0	0
081071 Üdülői szálláshely-szolgáltatás és étkeztetés	9316	1001	0	0	0	0	2101	0	28	0	0	0	176	12622	0	5670	0	5670	18292	4706	3866	0	0	442	0	398	44	9430	9474	120	194	314	3570	0	0	3617	0	0	89	5815	13091	0	0	0	5690	1938	0	0	0	252	7880	30759	0	0	0	0	0	0	0	0	0	0	0	1321	0	0	0	0	0	0	1321	348	0	0	0	0	0	0	0	0	0	0	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55426	0	0	0	0	0	0	55426	5	1	0
082030 Művészeti tevékenységek (kivéve: színház)	419	0	0	4	0	0	13	0	0	0	0	0	31	467	0	294	63	357	824	230	194	0	0	22	0	14	0	0	0	33	0	33	-212	0	0	0	0	0	0	322	110	0	0	0	-48	0	0	0	0	0	-48	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160996	0	0	0	160996	160996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162145	0	0	0	0	0	0	162145	0	0	0
082092 Közművelődés - hagyományos közösségi kulturális értékek gondozása	0	0	479	0	0	0	0	0	0	0	0	0	0	479	0	2276	250	2526	3005	130	130	0	0	0	0	0	530	0	530	0	0	0	0	0	0	0	0	0	32328	299	32627	0	0	0	8996	0	0	0	0	0	8996	42153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149448	0	0	0	149448	149448	0	0	0	11397	3077	14474	0	0	0	0	0	0	0	0	0	0	0	6580	0	0	0	6580	6580	215790	0	0	0	0	0	0	215790	0	0	0
083030 Egyéb kiadói tevékenység	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145731	0	145731	0	2036	2036	39897	0	0	0	0	0	39897	187664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187664	0	0	0	0	0	0	187664	0	0	0
084031 Civil szervezetek működési támogatása	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30324	0	30324	0	0	30324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3716	0	3716	0	0	3716	34040	0	0	0	0	0	0	34040	0	0	0
084032 Civil szervezetek programtámogatása	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12000	12000	12000	0	12000	0	0	24000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7874	0	7874	0	0	7874	31874	0	0	0	0	0	0	31874	0	0	0
084040 Egyházak közösségi és hitéleti tevékenységének támogatása	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10000	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26350	26350	0	0	0	26350	36350	0	0	0	0	0	0	36350	0	0	0
086030 Nemzetközi kulturális együttműködés	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3182	3182	3182	0	0	0	0	0	0	0	55	108	163	0	0	0	0	0	0	0	0	0	0	989	989	48	0	48	712	0	0	0	0	33	745	1945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5127	0	0	0	0	0	0	5127	0	0	0
086090 Mindenféle egyéb szabadidős szolgáltatás	0	0	0	0	0	0	178	0	0	0	0	0	0	178	0	420	0	420	598	176	102	0	0	40	0	34	0	0	0	0	0	0	0	0	0	0	0	0	327	0	327	0	0	0	0	0	0	0	0	0	0	327	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1184	0	0	0	0	0	0	1184	0	0	0
091110 Óvodai nevelés, ellátás szakmai feladatai	825483	87061	-20	1432	0	25798	35762	0	3927	0	0	990	39377	1019810	0	99	24101	24200	1044010	315326	299809	0	0	6687	1534	7296	28753	69	28822	0	0	0	0	0	0	0	0	0	148	148	296	1000	0	1000	7206	0	0	0	0	2749	9955	40073	0	0	0	0	0	0	0	0	0	0	0	774	0	0	0	0	0	0	774	12272	0	0	0	0	0	0	0	0	0	0	12272	0	1671	19	137	491	2318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1414773	0	0	0	0	0	0	1414773	327	0	3450
091120 Sajátos nevelési igényű gyermekek óvodai nevelésének, ellátásának szakmai feladatai	15402	1867	0	170	0	1492	910	0	438	0	0	49	1546	21874	0	0	889	889	22763	5914	5419	0	0	204	90	201	0	14	14	0	31	31	-12	0	0	0	0	0	0	0	-12	0	0	0	12	0	0	0	0	0	12	45	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28763	0	0	0	0	0	0	28763	3	0	13
091130 Nemzetiségi óvodai nevelés, ellátás szakmai feladatai	17365	1745	0	0	0	0	709	0	20	0	0	0	353	20192	0	0	0	0	20192	5330	5082	0	0	116	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25522	0	0	0	0	0	0	25522	2	0	95
091140 Óvodai nevelés, ellátás működtetési feladatai	541577	36315	6417	2080	236	1556	31916	0	2887	0	0	3615	35293	661892	0	0	1882	1882	663774	154663	124462	18804	0	5244	327	5826	12308	48921	61229	2115	3022	5137	126841	0	447	31801	23538	23522	5102	18825	206554	0	734	734	57415	108409	0	0	0	5741	171565	445219	0	0	0	0	0	0	0	0	0	0	0	394	0	0	0	0	0	0	394	0	0	0	0	0	0	0	0	0	0	0	0	155	452297	1899	17848	19814	492013	42648	0	11515	54163	0	0	0	0	0	0	0	0	0	0	0	0	0	1810226	0	0	0	0	0	0	1810226	0	266	0
091220 Köznevelési intézmény 1-4. évfolyamán tanulók nevelésével, oktatásával összefüggő működtetési feladatok	178906	17286	0	2097	0	1691	14184	0	1746	0	0	1284	14479	231673	0	230	1848	2078	233751	57606	51495	0	0	2525	1027	2559	-108	16572	16464	2628	3012	5640	142854	0	653	27472	2292	1155	2284	9522	185077	0	0	0	45771	0	0	0	0	2604	48375	255556	0	0	0	0	0	0	0	0	0	0	0	274	0	0	0	0	0	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	6845	163	1561	2313	10882	22312	0	6025	28337	0	0	0	0	0	0	0	0	0	0	0	0	0	586406	0	0	0	0	0	0	586406	9	84	0
091250 Alapfokú művészetoktatással összefüggő működtetési feladatok	28523	1881	0	256	0	0	1703	0	811	0	0	145	1572	34891	0	2368	919	3287	38178	9549	8671	0	0	361	152	365	291	1888	2179	74	461	535	19090	0	29	543	182	104	0	772	20616	0	0	0	6223	0	0	0	0	215	6438	29768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	10	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77542	0	0	0	0	0	0	77542	6	19	0
092120 Köznevelési intézmény 5-8. évfolyamán tanulók nevelésével, oktatásával összefüggő működtetési feladatok	85124	5964	0	1911	0	619	6810	0	1270	0	0	750	5184	107632	0	20	598	618	108250	27861	25425	0	0	1100	112	1224	1209	15139	16348	2043	2364	4407	135625	0	772	27413	137	97	2259	6827	173033	0	0	0	42742	0	0	0	0	444	43186	236974	0	0	0	0	0	0	0	0	0	0	0	1066	0	0	0	0	0	0	1066	0	0	0	0	0	0	0	0	0	0	0	0	0	6845	191	1468	2296	10800	22312	0	6024	28336	0	0	0	0	0	0	0	0	0	0	0	0	0	413287	0	0	0	0	0	0	413287	9	84	0
092260 Gimnázium és szakképző iskola tanulóinak közismereti és szakmai elméleti oktatásával összefüggő működtetési feladatok	51889	3757	0	502	0	633	4018	0	269	0	0	324	2568	63960	0	0	502	502	64462	16224	14526	0	0	774	178	746	374	5504	5878	380	1809	2189	54152	0	134	16058	442	77	686	4578	76050	0	0	0	20987	0	0	0	0	783	21770	105887	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	50	64	302	12163	0	3284	15447	0	0	0	0	0	0	0	0	0	0	0	0	0	202622	0	0	0	0	0	0	202622	4	24	0
092270 Szakképző iskolai tanulók szakmai gyakorlati oktatásával összefüggő működtetési feladatok	156	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	156	0	0	0	0	0	0	0	94	1478	1572	506	496	1002	11799	0	12	281	290	290	0	902	13284	0	0	0	2488	0	0	0	0	185	2673	18531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	64	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18988	0	0	0	0	0	0	18988	0	0	0
094260 Hallgatói és oktatói ösztöndíjak, egyéb juttatások	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	260	0	0	0	0	0	260	0	7721	7721	0	0	0	0	0	0	0	0	7721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7981	0	0	0	0	0	0	7981	0	0	0
096010 Óvodai intézményi étkeztetés	31938	2804	20	50	0	0	2707	0	337	0	0	593	3302	41751	0	102	0	102	41853	10796	9868	0	0	406	21	501	0	3030	3030	0	0	0	0	312769	0	230	0	0	0	249	313248	0	0	0	85367	0	0	0	0	0	85367	401645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	531	143	674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	454968	0	0	0	0	0	0	454968	0	23	0
096020 Iskolai intézményi étkeztetés	72219	6757	0	1028	0	469	6404	0	356	0	0	677	5972	93882	0	0	2491	2491	96373	24993	22572	0	0	1033	123	1265	0	6572	6572	0	13	13	30	586536	0	87	0	0	0	294	586947	0	0	0	160245	0	0	0	0	560	160805	754337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	772	208	980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	876683	0	0	0	0	0	0	876683	0	61	0
096030 Köznevelési intézményben tanulók lakhatásának biztosítása	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10596	10596	24	0	24	1399	0	21	2	0	0	0	23	1445	0	0	0	3040	0	0	0	0	0	3040	15105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15109	0	0	0	0	0	0	15109	1	13	0
098022 Pedagógiai szakszolgáltató tevékenység működtetési feladatai	9680	576	0	0	0	0	816	0	221	0	0	60	359	11712	0	0	0	0	11712	2982	2682	0	0	149	0	151	0	564	564	103	407	510	3553	0	10	275	22	22	0	212	4072	0	0	0	1318	0	0	0	0	460	1778	6924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	434	101	144	679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22297	0	0	0	0	0	0	22297	4	2	0
098032 Pedagógiai szakmai szolgáltatások működtetési feladatai	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	47	0	55	55	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	28	130	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	38	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	536	0	0	0	0	0	0	536	0	0	0
101145 Szenvedélybetegek alacsonyküszöbű ellátása	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	0	2000	0	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	2000	0	0	3884
101150 Betegséggel kapcsolatos pénzbeli ellátások, támogatások	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49532	49532	0	0	0	0	0	0	0	0	0	0	0	0	49532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49532	0	0	0	0	0	0	49532	0	0	0
101221 Fogyatékossággal élők nappali ellátása	14144	1105	0	0	0	372	774	0	178	0	0	102	821	17496	0	588	0	588	18084	5036	4616	0	0	132	145	143	133	767	900	145	89	234	1408	0	48	1965	0	0	629	256	4306	0	0	0	1298	0	0	0	0	1012	2310	7750	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	6172	1678	7891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38861	0	0	0	0	0	0	38861	6	2	88
102030 Idősek, demens betegek nappali ellátása	32867	3445	0	0	0	697	2353	0	15	0	0	265	3945	43587	0	3698	899	4597	48184	12580	11692	0	0	404	40	444	354	2180	2534	134	193	327	7519	13	0	13847	55	0	1161	1019	23614	0	0	0	6926	0	0	0	0	622	7548	34023	0	0	0	0	0	0	0	0	0	0	0	1771	0	0	0	0	0	0	1771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	374	177	831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97389	0	0	0	0	0	0	97389	13	9	300
102050 Az időskorúak társadalmi integrációját célzó programok	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2835	0	0	0	41831	0	44666	399	0	399	11259	0	0	0	0	0	11259	56324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56324	0	0	0	0	0	0	56324	0	0	0
104012 Gyermekek átmeneti ellátása	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11500	0	11500	0	0	11500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11500	0	0	0	0	0	0	11500	0	0	0
104030 Gyermekek napközbeni ellátása	490315	35327	0	529	1013	3794	41225	0	4659	0	0	3195	28330	608387	0	3246	5190	8436	616823	176681	145509	14950	0	7061	1498	7663	1903	96049	97952	3180	786	3966	67862	0	0	31364	10095	10084	7126	9462	125909	0	525	525	49212	11587	0	0	0	2384	63183	291535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8488	0	0	0	0	0	0	0	0	0	0	8488	0	27888	567	7493	9706	45654	14891	0	4020	18911	0	0	0	0	0	0	0	0	0	0	0	0	0	1158092	0	0	0	0	0	0	1158092	191	118	2537
104042 Gyermekjóléti szolgáltatások	49431	5171	0	0	0	0	2264	0	44	0	0	165	4920	61995	0	134	60	194	62189	17943	16803	0	0	447	195	498	510	2137	2647	172	691	863	0	7	37	2090	0	0	173	976	3283	0	0	0	2388	0	0	0	0	3269	5657	12450	0	0	0	0	0	0	0	0	0	0	0	1188	0	0	0	0	0	0	1188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	70	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94099	0	0	0	0	0	0	94099	27	1	0
104051 Gyermekvédelmi pénzbeli és természetbeni ellátások	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16609	160	16449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16609	0	0	0	0	0	0	16609	0	0	0
105010 Munkanélküli aktív korúak ellátásai	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182921	182921	0	0	0	0	0	79756	79756	0	0	0	262677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262677	0	0	0	0	0	0	262677	0	0	0
106020 Lakásfenntartással, lakhatással összefüggő ellátások	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55232	35798	19434	0	0	0	0	0	0	0	55232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55232	0	0	0	0	0	0	55232	0	0	0
107015 Hajléktalanok nappali ellátása	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6000	0	6000	0	0	6000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6000	0	0	0	0	0	0	6000	0	0	150
