Űrlap	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A	05/A
018030 Támogatási célú finanszírozási műveletek	1126	0	0	0	0	0	0	0	0	0	0	0	0	1126	0	0	0	0	1126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115866	0	0	0	0	0	0	0	0	0	0	115866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116999	0	0	0	8742298	8742298	8742298	8859297	0	0	0
022010 Polgári honvédelem ágazati feladatai, a lakosság felkészítése	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	970	0	970	970	227	227	0	0	0	0	0	420	0	420	0	0	0	0	0	0	0	0	0	0	151	151	0	0	0	154	0	0	0	0	0	154	725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1922	0	0	0	0	0	0	1922	0	0	0
031030 Közterület rendjének fenntartása	85738	8239	0	6769	0	0	6026	0	770	916	0	0	2393	110851	0	4355	45	4400	115251	32558	29187	1374	0	936	19	1042	625	18923	19548	2221	647	2868	894	0	16026	1617	0	0	10045	52800	81382	0	286	286	27197	0	0	0	0	6067	33264	137348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8999	27884	9472	46355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331512	0	0	0	0	0	0	331512	34	1	0
031060 Bűnmegelőzés	0	0	1801	0	0	0	0	0	0	0	0	0	0	1801	0	9200	0	9200	11001	2722	2722	0	0	0	0	0	0	0	0	0	129	129	0	0	967	0	0	0	11636	1196	13799	0	6700	6700	4199	0	0	0	0	2422	6621	27249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25000	25000	0	0	0	129700	0	3750	0	125950	154700	0	0	0	480	130	610	0	0	0	0	0	0	0	0	0	0	0	68124	0	1750	0	66374	68124	264406	0	0	0	0	0	0	264406	0	0	0
032010 Tűz- és katasztrófavédelem igazgatása	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3750	0	3750	0	0	3750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1750	0	1750	0	0	1750	5500	0	0	0	0	0	0	5500	0	0	0
036020 Jogi segítségnyújtás, áldozatsegítés, kárenyhítés, kárpótlás	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17547	17547	17547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17547	0	0	0	0	0	0	17547	0	0	0
041231 Rövid időtartamú közfoglalkoztatás	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25000	0	0	0	25000	25000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25000	0	0	0	0	0	0	25000	0	0	0
041233 Hosszabb időtartamú közfoglalkoztatás	44964	0	0	0	0	0	0	0	0	0	0	0	724	45688	0	0	0	0	45688	6404	6293	0	0	0	111	0	0	411	411	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	104	0	0	0	0	0	104	522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52123	0	0	0	52123	52123	0	0	584	0	158	742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105479	0	0	0	0	0	0	105479	0	0	0
041237 Közfoglalkoztatási mintaprogram	605	0	15	6	0	6	22	0	3	1	0	2	21	681	0	36	2	38	719	198	180	0	9	2	1	6	50	34	84	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	15	0	0	0	0	1	16	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1022	0	0	0	0	0	0	1022	0	1	0
042180 Állat-egészségügy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	105	105	25	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	719	719	0	0	0	194	0	0	0	0	0	194	913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1043	0	0	0	0	0	0	1043	0	0	0
